tc_customer_id,tc_loyalty_program_id,custom_data_product_differentiator,tc_min_created_at,tc_max_created_at,number_of_txns,customer_id,loyalty_program_id,selling_price_usd,cost_per_point_usd,transfer_ratio,start_date,end_date,type_of_partner,tier
60,ETHGUEST,AFFLUENT,2024-06-01 19:15:07.76146,2024-07-24 14:30:09.376712,13,60,ETHGUEST,0.0144,0.012,10,2022-08-26,3000-10-10,Ascenda Partner,AFFLUENT
60,ETHGUEST,Atlas,2024-06-13 12:45:07.101022,2024-07-28 14:45:11.428726,33,,,,,,,,,
60,ETHGUEST,Burgundy Private,2024-06-05 03:30:08.100764,2024-07-08 10:15:07.339769,6,60,ETHGUEST,0.0144,0.012,1.25,2023-09-01,3000-10-10,Ascenda Partner,Burgundy Private
60,ETHGUEST,HNI,2024-06-01 20:00:06.708286,2024-07-28 08:00:07.845844,80,60,ETHGUEST,0.0144,0.012,2.5,2023-09-01,3000-10-10,Ascenda Partner,HNI
60,ETHGUEST,Horizon,2024-07-17 21:45:07.738765,2024-07-29 18:45:08.783235,6,,,,,,,,,
60,ETHGUEST,IOCL,2024-07-17 16:45:11.347023,2024-07-18 13:15:07.878926,2,,,,,,,,,
60,ETHGUEST,Magnus Burgundy,2024-06-01 16:00:11.877683,2024-07-28 06:00:08.789336,74,60,ETHGUEST,0.0144,0.012,1.25,2023-09-01,3000-10-10,Ascenda Partner,Magnus Burgundy
60,ETHGUEST,MILE,2024-06-01 17:30:20.496717,2024-06-07 05:15:09.362986,2,60,ETHGUEST,0.0144,0.012,0.5,2022-06-01,3000-10-10,Ascenda Partner,MILE
60,ETHGUEST,Non Magnus Burgundy,2024-06-05 06:30:07.959421,2024-06-28 12:00:06.772283,4,60,ETHGUEST,0.0144,0.012,1.25,2023-09-01,3000-10-10,Ascenda Partner,Non Magnus Burgundy
60,ETHGUEST,Olympus,2024-07-18 14:30:11.313439,2024-07-23 06:00:06.650671,7,,,,,,,,,
60,ETHGUEST,RETAIL,2024-06-12 14:30:07.980871,2024-07-11 18:15:06.423069,7,60,ETHGUEST,0.0144,0.012,20,2022-08-26,3000-10-10,Ascenda Partner,RETAIL
60,IHGREWARDSCLUB,AFFLUENT,2024-06-20 15:15:07.666064,2024-07-29 15:15:10.581593,15,60,IHGREWARDSCLUB,0.0084,0.007,10,2022-08-26,3000-10-10,Ascenda Partner,AFFLUENT
60,IHGREWARDSCLUB,Atlas,2024-06-20 15:00:08.331231,2024-07-29 06:15:06.666837,9,,,,,,,,,
60,IHGREWARDSCLUB,Burgundy Private,2024-06-03 18:15:09.623809,2024-07-27 16:15:08.140255,12,60,IHGREWARDSCLUB,0.0084,0.007,1.25,2023-09-01,3000-10-10,Ascenda Partner,Burgundy Private
60,IHGREWARDSCLUB,HNI,2024-06-04 11:45:09.072987,2024-07-28 08:30:09.962171,53,60,IHGREWARDSCLUB,0.0084,0.007,2.5,2023-09-01,3000-10-10,Ascenda Partner,HNI
60,IHGREWARDSCLUB,Horizon,2024-07-17 12:15:08.112123,2024-07-22 14:45:06.37888,6,,,,,,,,,
60,IHGREWARDSCLUB,Magnus Burgundy,2024-06-12 12:15:10.281921,2024-07-17 11:45:07.578818,9,60,IHGREWARDSCLUB,0.0084,0.007,1.25,2023-09-01,3000-10-10,Ascenda Partner,Magnus Burgundy
60,IHGREWARDSCLUB,MILE,2024-06-03 11:30:07.917772,2024-06-07 05:15:08.035318,3,60,IHGREWARDSCLUB,0.0084,0.007,0.5,2022-06-01,3000-10-10,Ascenda Partner,MILE
60,IHGREWARDSCLUB,Non Magnus Burgundy,2024-07-26 09:45:06.955509,2024-07-26 09:45:06.955509,1,60,IHGREWARDSCLUB,0.0084,0.007,1.25,2023-09-01,3000-10-10,Ascenda Partner,Non Magnus Burgundy
60,IHGREWARDSCLUB,Olympus,2024-07-18 14:45:07.009763,2024-07-26 05:30:09.608907,4,,,,,,,,,
60,IHGREWARDSCLUB,RETAIL,2024-07-11 16:15:12.14133,2024-07-28 05:15:11.592815,4,60,IHGREWARDSCLUB,0.0084,0.007,20,2022-08-26,3000-10-10,Ascenda Partner,RETAIL
60,JALMILEAGEBANK,Atlas,2024-06-09 16:00:09.407806,2024-07-26 03:30:08.581037,14,,,,,,,,,
60,JALMILEAGEBANK,HNI,2024-06-02 11:30:11.847354,2024-07-27 20:45:06.95004,13,60,JALMILEAGEBANK,0.0225,0.019,2.5,2023-09-01,3000-10-10,Ascenda Partner,HNI
60,JALMILEAGEBANK,Horizon,2024-07-17 13:15:08.165537,2024-07-17 13:15:08.165537,1,,,,,,,,,
60,JALMILEAGEBANK,Magnus Burgundy,2024-06-01 02:30:10.048269,2024-07-29 16:30:07.277311,103,60,JALMILEAGEBANK,0.0225,0.019,1.25,2023-09-01,3000-10-10,Ascenda Partner,Magnus Burgundy
60,JALMILEAGEBANK,MILE,2024-06-02 06:15:09.979846,2024-06-07 16:00:18.676708,2,60,JALMILEAGEBANK,0.0225,0.019,0.5,2023-04-05,3000-10-10,Ascenda Partner,MILE
60,JALMILEAGEBANK,Non Magnus Burgundy,2024-06-05 06:30:08.783801,2024-07-26 09:30:10.592251,13,60,JALMILEAGEBANK,0.0225,0.019,1.25,2023-09-01,3000-10-10,Ascenda Partner,Non Magnus Burgundy
60,JALMILEAGEBANK,Olympus,2024-07-18 17:15:07.722124,2024-07-28 07:30:11.110274,3,,,,,,,,,
60,MIMARRIOTTBONVOY,AFFLUENT,2024-06-02 09:00:07.176691,2024-07-30 04:15:06.584577,69,60,MIMARRIOTTBONVOY,0.0131,0.0125,10,2022-08-26,3000-10-10,Joint Ascenda-Marriott Partner,AFFLUENT
60,MIMARRIOTTBONVOY,Atlas,2024-06-10 18:45:12.161475,2024-07-28 11:30:09.441669,55,,,,,,,,,
60,MIMARRIOTTBONVOY,Burgundy Private,2024-06-01 13:45:06.683311,2024-07-23 13:30:09.544386,48,60,MIMARRIOTTBONVOY,0.0131,0.0125,1.25,2023-09-01,3000-10-10,Joint Ascenda-Marriott Partner,Burgundy Private
60,MIMARRIOTTBONVOY,HNI,2024-06-01 01:45:07.573589,2024-07-29 14:15:08.149672,512,60,MIMARRIOTTBONVOY,0.0131,0.0125,2.5,2023-09-01,3000-10-10,Joint Ascenda-Marriott Partner,HNI
60,MIMARRIOTTBONVOY,Horizon,2024-06-27 10:00:07.389463,2024-07-28 19:00:06.585689,19,,,,,,,,,
60,MIMARRIOTTBONVOY,IOCL,2024-07-25 04:45:08.229498,2024-07-28 10:15:08.486009,4,,,,,,,,,
60,MIMARRIOTTBONVOY,Magnus Burgundy,2024-06-01 07:00:11.019227,2024-07-30 01:15:06.577185,250,60,MIMARRIOTTBONVOY,0.0131,0.0125,1.25,2023-09-01,3000-10-10,Joint Ascenda-Marriott Partner,Magnus Burgundy
60,MIMARRIOTTBONVOY,MILE,2024-06-04 09:45:07.525071,2024-06-04 09:45:07.525071,1,60,MIMARRIOTTBONVOY,0.0131,0.0125,2,2022-06-01,3000-10-10,Joint Ascenda-Marriott Partner,MILE
60,MIMARRIOTTBONVOY,Non Magnus Burgundy,2024-06-09 11:30:10.490883,2024-07-25 07:15:08.071808,13,60,MIMARRIOTTBONVOY,0.0131,0.0125,1.25,2023-09-01,3000-10-10,Joint Ascenda-Marriott Partner,Non Magnus Burgundy
60,MIMARRIOTTBONVOY,Olympus,2024-07-17 17:30:07.50945,2024-07-29 06:30:10.085265,8,,,,,,,,,
60,MIMARRIOTTBONVOY,Primus,2024-07-23 13:30:10.43725,2024-07-25 04:00:08.122306,2,,,,,,,,,
60,MIMARRIOTTBONVOY,RETAIL,2024-06-01 16:00:10.472768,2024-07-29 11:30:07.309288,24,60,MIMARRIOTTBONVOY,0.0131,0.0125,20,2022-08-26,3000-10-10,Joint Ascenda-Marriott Partner,RETAIL
60,QFQANTAS,AFFLUENT,2024-07-18 03:30:07.964205,2024-07-22 02:30:08.169319,3,60,QFQANTAS,0.012,0.01,10,2023-04-05,3000-10-10,Ascenda Partner,AFFLUENT
60,QFQANTAS,Atlas,2024-06-17 16:00:07.14213,2024-07-25 15:15:10.184877,13,,,,,,,,,
60,QFQANTAS,Burgundy Private,2024-06-01 09:30:09.113279,2024-07-17 21:30:09.154642,4,60,QFQANTAS,0.012,0.01,1.25,2023-09-01,3000-10-10,Ascenda Partner,Burgundy Private
60,QFQANTAS,HNI,2024-06-01 16:30:11.300775,2024-07-29 12:15:10.413356,31,60,QFQANTAS,0.012,0.01,2.5,2023-09-01,3000-10-10,Ascenda Partner,HNI
60,QFQANTAS,IOCL,2024-07-23 00:15:06.234774,2024-07-23 00:15:06.234774,1,,,,,,,,,
60,QFQANTAS,Magnus Burgundy,2024-06-05 11:45:08.304219,2024-07-29 04:30:08.37418,98,60,QFQANTAS,0.012,0.01,1.25,2023-09-01,3000-10-10,Ascenda Partner,Magnus Burgundy
60,QFQANTAS,MILE,2024-06-01 07:15:06.81057,2024-06-01 07:15:06.81057,1,60,QFQANTAS,0.012,0.01,0.5,2023-04-05,3000-10-10,Ascenda Partner,MILE
60,QFQANTAS,Non Magnus Burgundy,2024-06-14 16:15:11.091559,2024-07-18 15:00:16.113083,11,60,QFQANTAS,0.012,0.01,1.25,2023-09-01,3000-10-10,Ascenda Partner,Non Magnus Burgundy
60,TGROYALORCHIDPLUS,AFFLUENT,2024-06-05 19:00:09.417835,2024-07-28 14:45:12.556582,3,60,TGROYALORCHIDPLUS,0.015,0.0125,10,2023-04-05,3000-10-10,Ascenda Partner,AFFLUENT
60,TGROYALORCHIDPLUS,Atlas,2024-07-14 14:30:08.45502,2024-07-25 19:00:07.359903,2,,,,,,,,,
60,TGROYALORCHIDPLUS,Burgundy Private,2024-06-11 02:15:07.470321,2024-06-19 17:30:11.249452,2,60,TGROYALORCHIDPLUS,0.015,0.0125,1.25,2023-09-01,3000-10-10,Ascenda Partner,Burgundy Private
60,TGROYALORCHIDPLUS,HNI,2024-06-12 14:00:08.639703,2024-07-27 17:30:11.791944,15,60,TGROYALORCHIDPLUS,0.015,0.0125,2.5,2023-09-01,3000-10-10,Ascenda Partner,HNI
60,TGROYALORCHIDPLUS,Magnus Burgundy,2024-06-02 07:00:09.36689,2024-07-07 09:30:08.977934,5,60,TGROYALORCHIDPLUS,0.015,0.0125,1.25,2023-09-01,3000-10-10,Ascenda Partner,Magnus Burgundy
60,TGROYALORCHIDPLUS,MILE,2024-06-01 13:15:08.237557,2024-06-06 20:00:07.910405,3,60,TGROYALORCHIDPLUS,0.015,0.0125,0.5,2023-04-05,3000-10-10,Ascenda Partner,MILE
60,TGROYALORCHIDPLUS,Non Magnus Burgundy,2024-06-20 09:00:09.746582,2024-06-20 09:00:09.746582,1,60,TGROYALORCHIDPLUS,0.015,0.0125,1.25,2023-09-01,3000-10-10,Ascenda Partner,Non Magnus Burgundy
60,TGROYALORCHIDPLUS,RETAIL,2024-07-19 06:15:06.981127,2024-07-24 08:45:07.860061,3,60,TGROYALORCHIDPLUS,0.015,0.0125,20,2023-04-05,3000-10-10,Ascenda Partner,RETAIL
60,UAMILEAGEPLUS,AFFLUENT,2024-07-11 12:30:09.725844,2024-07-28 03:00:08.248557,5,60,UAMILEAGEPLUS,0.018,0.014,10,2022-08-26,3000-10-10,Ascenda Partner,AFFLUENT
60,UAMILEAGEPLUS,Atlas,2024-06-09 13:15:08.080289,2024-07-29 14:15:06.18331,61,,,,,,,,,
60,UAMILEAGEPLUS,Burgundy Private,2024-06-04 18:00:09.098947,2024-07-28 03:00:09.095522,32,60,UAMILEAGEPLUS,0.018,0.014,1.25,2023-09-01,3000-10-10,Ascenda Partner,Burgundy Private
60,UAMILEAGEPLUS,HNI,2024-06-01 07:00:10.220366,2024-07-30 03:45:06.929396,88,60,UAMILEAGEPLUS,0.018,0.014,2.5,2023-09-01,3000-10-10,Ascenda Partner,HNI
60,UAMILEAGEPLUS,IOCL,2024-07-19 12:15:10.346814,2024-07-19 12:15:10.346814,1,,,,,,,,,
60,UAMILEAGEPLUS,Magnus Burgundy,2024-06-01 04:30:08.169819,2024-07-29 14:45:06.558854,315,60,UAMILEAGEPLUS,0.018,0.014,1.25,2023-09-01,3000-10-10,Ascenda Partner,Magnus Burgundy
60,UAMILEAGEPLUS,Magnus Burgundy Private,2024-07-21 17:30:07.543515,2024-07-21 17:30:07.543515,1,,,,,,,,,
60,UAMILEAGEPLUS,MILE,2024-06-02 01:30:08.100066,2024-06-07 10:45:08.673196,13,60,UAMILEAGEPLUS,0.018,0.014,0.5,2022-06-01,3000-10-10,Ascenda Partner,MILE
60,UAMILEAGEPLUS,Non Magnus Burgundy,2024-06-04 11:30:10.45289,2024-07-25 07:30:07.993663,17,60,UAMILEAGEPLUS,0.018,0.014,1.25,2023-09-01,3000-10-10,Ascenda Partner,Non Magnus Burgundy
60,UAMILEAGEPLUS,Olympus,2024-07-19 17:30:07.926976,2024-07-30 04:15:09.398687,12,,,,,,,,,
60,UAMILEAGEPLUS,RETAIL,2024-06-21 03:45:08.392225,2024-06-21 03:45:08.392225,1,60,UAMILEAGEPLUS,0.018,0.014,20,2022-08-26,3000-10-10,Ascenda Partner,RETAIL
60,WHWYNDHAMREWARDS,AFFLUENT,2024-07-27 12:00:07.637744,2024-07-27 12:00:07.637744,1,60,WHWYNDHAMREWARDS,0.0144,0.012,10,2023-04-05,3000-10-10,Ascenda Partner,AFFLUENT
60,WHWYNDHAMREWARDS,Atlas,2024-06-24 18:45:07.067606,2024-07-28 18:30:07.855136,3,,,,,,,,,
60,WHWYNDHAMREWARDS,HNI,2024-06-13 11:15:08.93986,2024-07-22 16:30:11.438922,6,60,WHWYNDHAMREWARDS,0.0144,0.012,2.5,2023-09-01,3000-10-10,Ascenda Partner,HNI
60,WHWYNDHAMREWARDS,Magnus Burgundy,2024-06-08 12:00:10.989485,2024-07-19 13:45:08.097421,19,60,WHWYNDHAMREWARDS,0.0144,0.012,1.25,2023-09-01,3000-10-10,Ascenda Partner,Magnus Burgundy
60,WHWYNDHAMREWARDS,MILE,2024-06-02 05:30:09.651723,2024-06-02 05:30:09.651723,1,60,WHWYNDHAMREWARDS,0.0144,0.012,0.5,2023-04-05,3000-10-10,Ascenda Partner,MILE
62,MIMARRIOTTBONVOY,,2024-06-01 01:06:18.912567,2024-07-28 19:31:54.059224,192,62,MIMARRIOTTBONVOY,0.0097375,0.0095,1,2021-05-03,3000-10-10,Direct Partner,""
64,ACCORLECLUB,,2024-06-23 14:56:29.422854,2024-07-25 13:56:19.628985,8,64,ACCORLECLUB,0.025962,0.021635,2,2022-10-03,3000-10-10,Ascenda Partner,""
64,AFFLYINGBLUE,,2024-06-02 14:08:36.475488,2024-07-30 01:40:53.289369,825,64,AFFLYINGBLUE,0.0132,0.012,1.25,2022-06-28,3000-10-10,Ascenda Partner,""
64,AVLIFEMILES,,2024-06-01 16:10:09.247426,2024-07-16 16:51:28.042088,8,64,AVLIFEMILES,0.014,0.0125,1.25,2022-06-28,3000-10-10,Ascenda Partner,""
64,BAAVIOS,,2024-06-02 00:56:25.389024,2024-07-30 01:31:47.674215,233,64,BAAVIOS,0,0,0,2022-06-28,3000-10-10,Direct Partner,""
